video_id,frame_count,first_crash_frame_index,crash_frame_count,timing,weather,egoinvolve,source_startframe,youtube_id,total_bytes
000085,50,30,20,Day,Normal,Yes,001964,0028,5326574
000086,50,30,20,Night,Snowy,No,002072,0028,3043175
000087,50,42,8,Day,Snowy,Yes,002195,0028,7678661
000088,50,39,11,Day,Snowy,Yes,002493,0028,5543673
000089,50,33,17,Day,Snowy,No,002739,0028,6014425
000090,50,31,19,Day,Snowy,No,003044,0028,6646021
000091,50,42,8,Night,Normal,Yes,003233,0028,4375944
000092,50,31,19,Night,Normal,Yes,000087,0029,2149830
000093,50,32,18,Day,Snowy,Yes,000147,0029,3541131
000094,50,30,20,Day,Snowy,Yes,000231,0029,4091315
000095,50,34,16,Night,Normal,No,000304,0029,4650975
000096,50,33,17,Day,Normal,Yes,000491,0029,5435914
000097,50,36,14,Day,Normal,No,000696,0029,5039352
000098,50,41,9,Day,Normal,Yes,000791,0029,4695165
000099,50,34,16,Day,Normal,Yes,001115,0029,3352528
000100,50,33,17,Day,Normal,No,001216,0029,3829897
000101,50,48,2,Day,Normal,Yes,001319,0029,4002760
000102,50,37,13,Day,Rainy,Yes,001602,0029,3447557
000103,50,30,20,Day,Snowy,Yes,001848,0029,2928098
000104,50,33,17,Night,Normal,Yes,002361,0029,2779848
000105,50,31,19,Day,Snowy,Yes,002500,0029,2841285
000106,50,38,12,Day,Snowy,Yes,002964,0029,4660392
000107,50,44,6,Day,Normal,Yes,003098,0029,3042365
000108,50,36,14,Day,Normal,Yes,000290,0030,4166177
000109,50,30,20,Day,Normal,Yes,000358,0030,6459821
000110,50,34,16,Day,Normal,No,000472,0030,9975504
000111,50,34,16,Day,Snowy,No,000635,0030,4055975
000112,50,43,7,Day,Snowy,Yes,000796,0030,4330270
000113,50,30,20,Day,Snowy,No,001007,0030,3524962
000114,50,45,5,Day,Snowy,No,001147,0030,4569380
000115,50,33,17,Day,Rainy,Yes,001282,0030,6753915
000116,50,35,15,Day,Snowy,Yes,001567,0030,4063771
000117,50,30,20,Day,Normal,Yes,001930,0030,5969893
000118,50,46,4,Day,Normal,No,002054,0030,5712574
000119,50,36,14,Day,Snowy,No,002184,0030,5351334
000120,50,43,7,Day,Normal,No,002431,0030,6976202
000121,50,33,17,Day,Rainy,Yes,002539,0030,6020810
000122,50,30,20,Day,Rainy,No,002669,0030,5547707
000123,50,35,15,Day,Normal,No,002782,0030,5303301
000124,50,35,15,Day,Snowy,No,002891,0030,3864196
000125,50,35,15,Day,Rainy,No,003044,0030,7756950
000126,50,30,20,Night,Normal,Yes,003181,0030,2439688
000127,50,30,20,Day,Rainy,Yes,003336,0030,7943342
000128,50,31,19,Night,Normal,Yes,003746,0030,3499429
000129,50,40,10,Day,Normal,Yes,000007,0031,4338714
000130,50,32,18,Day,Normal,Yes,000115,0031,5777056
000131,50,31,19,Day,Snowy,Yes,000605,0031,5775267
000132,50,30,20,Day,Snowy,Yes,001067,0031,7599955
000133,50,36,14,Day,Snowy,Yes,001472,0031,8684878
000134,50,32,18,Day,Rainy,Yes,001595,0031,5153801
000135,50,31,19,Day,Snowy,No,001728,0031,6532662
000136,50,35,15,Day,Snowy,Yes,001842,0031,6191339
000137,50,37,13,Day,Normal,No,001939,0031,6403521
000138,50,39,11,Day,Normal,No,002162,0031,3300877
000139,50,30,20,Night,Rainy,Yes,002254,0031,2970253
000140,50,32,18,Day,Snowy,Yes,002393,0031,4859094
000141,50,46,4,Day,Normal,Yes,003020,0031,4232599
000142,50,30,20,Day,Normal,Yes,003456,0031,8145187
000143,50,39,11,Day,Snowy,Yes,003577,0031,3113455
000144,50,34,16,Day,Normal,No,000857,0032,4841528
000145,50,30,20,Night,Normal,Yes,000973,0032,5473813
000146,50,47,3,Day,Normal,No,001098,0032,5988592
000147,50,48,2,Day,Snowy,No,001231,0032,3149362
000148,50,32,18,Day,Rainy,No,001391,0032,5301825
000149,50,39,11,Day,Normal,No,001681,0032,3966674
000150,50,40,10,Day,Normal,Yes,002265,0032,5389101
000151,50,36,14,Day,Normal,No,002411,0032,6606658
000152,50,32,18,Day,Normal,Yes,002748,0032,8142772
000153,50,31,19,Day,Normal,No,003209,0032,5991866
000154,50,38,12,Day,Normal,Yes,003705,0032,6850131
000155,50,40,10,Day,Snowy,Yes,004055,0032,4619152
000156,50,33,17,Day,Normal,Yes,000067,0033,6801989
000157,50,43,7,Day,Normal,No,000356,0033,6681747
000158,50,41,9,Day,Normal,No,000550,0033,9926360
000159,50,32,18,Day,Normal,No,001454,0033,7615946
000160,50,39,11,Day,Normal,Yes,001636,0033,6951945
000161,50,32,18,Day,Normal,No,001952,0033,9668915
000162,50,39,11,Day,Normal,Yes,002614,0033,5078992
000163,50,34,16,Day,Normal,Yes,002956,0033,5581597
000164,50,43,7,Day,Normal,Yes,003092,0033,4152446
000165,50,46,4,Day,Normal,No,003215,0033,6431800
000166,50,30,20,Day,Normal,No,000013,0034,6430177
000167,50,30,20,Day,Normal,No,000118,0034,4278874
000168,50,30,20,Day,Normal,No,000389,0034,7108481
000169,50,30,20,Day,Rainy,Yes,001172,0034,2624787
000170,50,30,20,Day,Normal,No,002032,0034,5788213
000171,50,30,20,Day,Normal,Yes,003177,0034,5807661
000172,50,30,20,Day,Normal,No,003966,0034,3992672
000173,50,30,20,Day,Normal,Yes,004241,0034,6039168
000174,50,30,20,Day,Normal,Yes,000568,0035,3765509
000175,50,30,20,Day,Normal,Yes,000775,0035,4134720
000176,50,30,20,Day,Normal,Yes,001313,0035,7850467
000177,50,30,20,Day,Normal,Yes,001831,0035,7444007
000178,50,30,20,Day,Normal,Yes,001912,0035,4883464
000179,50,30,20,Day,Normal,No,002323,0035,5478668
000180,50,30,20,Day,Rainy,Yes,003266,0035,5089188
000181,50,30,20,Day,Normal,No,001010,0036,5479052
000182,50,30,20,Day,Normal,No,001417,0036,7307545
000183,50,30,20,Day,Normal,No,003503,0036,5933441
000184,50,30,20,Day,Normal,No,003621,0036,7150411
000185,50,30,20,Day,Normal,No,003781,0036,4797616
000186,50,30,20,Day,Normal,Yes,004263,0036,4993097
000187,50,30,20,Day,Normal,No,002748,0037,4990002
000188,50,30,20,Day,Rainy,No,003687,0037,7277251
000189,50,30,20,Day,Normal,Yes,003992,0037,7323349
000190,50,30,20,Day,Normal,No,000050,0038,7131692
000191,50,30,20,Day,Normal,No,000474,0038,4691982
000192,50,30,20,Day,Normal,Yes,002056,0038,7696628
000193,50,30,20,Day,Normal,No,002803,0038,7928768
000194,50,30,20,Day,Normal,No,003328,0038,6408273
000195,50,30,20,Day,Normal,Yes,003509,0038,4998801
000196,50,30,20,Day,Normal,Yes,000231,0039,5626986
000197,50,30,20,Day,Normal,No,000772,0039,5731831
000198,50,30,20,Day,Normal,Yes,001007,0039,7585037
000199,50,30,20,Day,Normal,Yes,001205,0039,5607982
000200,50,30,20,Day,Normal,Yes,001619,0039,6676808
000201,50,30,20,Day,Rainy,Yes,001761,0039,4827026
000202,50,30,20,Day,Normal,No,002098,0039,9017795
000203,50,30,20,Day,Normal,Yes,003274,0039,3354836
000204,50,30,20,Night,Normal,Yes,003675,0039,4744993
000205,50,30,20,Day,Normal,Yes,003880,0039,8853155
000206,50,30,20,Day,Normal,No,000358,0040,5848194
000207,50,30,20,Day,Rainy,No,001510,0040,5108514
000208,50,30,20,Night,Normal,No,001744,0040,4405101
000209,50,30,20,Day,Normal,No,002277,0040,3855667
000210,50,30,20,Night,Normal,Yes,002587,0040,4847881
000211,50,30,20,Day,Normal,No,002701,0040,6098590
000212,50,30,20,Night,Rainy,No,003652,0040,3883714
000213,50,30,20,Day,Normal,Yes,004058,0040,3749646
000214,50,30,20,Day,Normal,Yes,004351,0040,4945617
000215,50,30,20,Day,Normal,No,004585,0040,3213681
000216,50,30,20,Night,Normal,Yes,005052,0040,2916578
000217,50,30,20,Day,Normal,Yes,005744,0040,5755009
000218,50,30,20,Day,Normal,Yes,000485,0041,4022830
000219,50,39,11,Day,Snowy,Yes,000701,0041,7142802
000220,50,37,13,Day,Snowy,Yes,000853,0041,8806351
000221,50,36,14,Night,Snowy,No,001099,0041,5301274
000222,50,31,19,Day,Snowy,Yes,001299,0041,5207995
000223,50,32,18,Day,Snowy,Yes,001598,0041,4582359
000224,50,30,20,Day,Normal,Yes,002205,0041,12190108
000225,50,30,20,Day,Snowy,Yes,002935,0041,4183116
000226,50,36,14,Day,Snowy,Yes,003389,0041,6693827
000227,50,39,11,Day,Normal,Yes,003716,0041,4801780
000228,50,47,3,Day,Snowy,Yes,003988,0041,4527453
000229,50,39,11,Night,Normal,Yes,004331,0041,3799301
000230,50,36,14,Day,Snowy,Yes,000340,0042,4337523
000231,50,42,8,Night,Normal,Yes,000609,0042,5344021
000232,50,30,20,Day,Rainy,Yes,000706,0042,5843371
000233,50,42,8,Day,Snowy,Yes,000819,0042,3055445
000234,50,31,19,Day,Normal,Yes,002143,0042,7240109
000235,50,31,19,Day,Normal,Yes,002303,0042,3797647
000236,50,41,9,Day,Snowy,Yes,002748,0042,5010710
000237,50,48,2,Day,Normal,Yes,003196,0042,5966946
000238,50,42,8,Night,Normal,No,003417,0042,3088894
000239,50,30,20,Day,Snowy,No,000538,0043,4462699
000240,50,30,20,Day,Normal,No,000813,0043,3659666
000241,50,31,19,Day,Normal,Yes,000957,0043,5723876
000242,50,33,17,Day,Normal,No,001395,0043,3989905
000243,50,31,19,Day,Normal,No,001617,0043,7939606
000244,50,44,6,Day,Normal,No,001799,0043,7102815
000245,50,30,20,Day,Normal,Yes,001917,0043,4836293
000246,50,30,20,Day,Normal,Yes,002032,0043,7213595
000247,50,47,3,Day,Snowy,No,002338,0043,5508065
000248,50,30,20,Day,Normal,No,002574,0043,6039931
000249,50,30,20,Day,Normal,Yes,000104,0044,7370349
000250,50,35,15,Day,Normal,Yes,000464,0044,8123667
000251,50,36,14,Day,Normal,No,000538,0044,7845659
000252,50,49,1,Day,Normal,No,000630,0044,10032549
000253,50,30,20,Day,Normal,Yes,000771,0044,3775974
000254,50,30,20,Day,Normal,Yes,001011,0044,6300895
000255,50,35,15,Day,Snowy,Yes,001148,0044,5446306
000256,50,31,19,Day,Snowy,No,001537,0044,5192982
000257,50,49,1,Day,Normal,No,001620,0044,6104375
000258,50,45,5,Day,Normal,Yes,001745,0044,5091460
000259,50,37,13,Day,Normal,Yes,002005,0044,4221405
000260,50,36,14,Day,Normal,Yes,000865,0045,6536463
000261,50,40,10,Day,Normal,No,001459,0045,8028102
000262,50,38,12,Day,Normal,Yes,002172,0045,5559775
000263,50,30,20,Day,Normal,No,003578,0045,4281944
000264,50,40,10,Day,Normal,No,003897,0045,6443601
000265,50,37,13,Day,Normal,Yes,004195,0045,5031693
000266,50,30,20,Day,Normal,Yes,004636,0045,4338871
000267,50,30,20,Day,Normal,No,004808,0045,8481873
000268,50,30,20,Day,Normal,No,004958,0045,7617324
000269,50,35,15,Day,Normal,No,005179,0045,4467234
000270,50,42,8,Day,Normal,No,005620,0045,4315867
000271,50,43,7,Day,Normal,Yes,006017,0045,5946618
000272,50,30,20,Day,Normal,Yes,002051,0046,6905540
000273,50,34,16,Day,Normal,Yes,002168,0046,7067122
000274,50,39,11,Day,Normal,Yes,003302,0046,5941737
000275,50,45,5,Day,Normal,Yes,003954,0046,4280564
000276,50,30,20,Day,Normal,Yes,004541,0046,6183099
000277,50,49,1,Day,Normal,No,004673,0046,6877548
000278,50,37,13,Day,Normal,No,004976,0046,5775259
000279,50,32,18,Day,Normal,No,005561,0046,4804853
000280,50,47,3,Day,Normal,Yes,005783,0046,4190444
000281,50,39,11,Day,Normal,Yes,000222,0047,2036361
000282,50,32,18,Day,Normal,No,001802,0047,2321833
000283,50,42,8,Day,Normal,Yes,002748,0047,2442019
000284,50,46,4,Day,Normal,No,003336,0047,3138029
000285,50,40,10,Day,Normal,No,004710,0047,2130893
000286,50,45,5,Day,Normal,No,004936,0047,2384860
000287,50,34,16,Day,Normal,Yes,005072,0047,2083505
000288,50,30,20,Day,Normal,No,005321,0047,2071722
000289,50,41,9,Night,Normal,Yes,005691,0047,2015118
000290,50,32,18,Day,Rainy,Yes,005781,0047,1642868
000291,50,33,17,Day,Snowy,Yes,000138,0048,3935636
000292,50,47,3,Day,Normal,Yes,001265,0048,5821909
000293,50,41,9,Day,Snowy,Yes,001512,0048,6793071
000294,50,39,11,Day,Snowy,Yes,001656,0048,4323313
000295,50,45,5,Day,Snowy,Yes,001803,0048,3814152
000296,50,44,6,Day,Normal,Yes,002069,0048,7252784
000297,50,35,15,Night,Normal,No,003676,0048,4556470
000298,50,49,1,Day,Snowy,Yes,003797,0048,3148348
000299,50,47,3,Day,Snowy,Yes,004047,0048,4003044
000300,50,38,12,Day,Normal,No,004550,0048,6331561
000301,50,44,6,Day,Normal,Yes,000513,0049,4110418
000302,50,46,4,Day,Rainy,Yes,000628,0049,4258042
000303,50,37,13,Day,Snowy,Yes,000905,0049,7094303
000304,50,42,8,Day,Rainy,No,001035,0049,4305556
000305,50,48,2,Day,Normal,Yes,001254,0049,8430962
000306,50,34,16,Day,Normal,Yes,001377,0049,5616487
000307,50,31,19,Day,Snowy,Yes,002091,0049,8102836
000308,50,32,18,Day,Normal,Yes,002230,0049,5186756
000309,50,39,11,Day,Normal,No,002397,0049,7296599
000310,50,36,14,Day,Snowy,Yes,002673,0049,3253963
000311,50,33,17,Day,Normal,No,003038,0049,5651041
000312,50,38,12,Day,Normal,No,003273,0049,3914213
000313,50,31,19,Day,Snowy,No,003675,0049,2976421
000314,50,36,14,Night,Normal,No,003793,0049,4144544
000315,50,31,19,Day,Normal,Yes,004278,0049,4341404
000316,50,46,4,Day,Normal,Yes,004488,0049,4641486
000317,50,33,17,Day,Normal,Yes,004591,0049,7058417
000318,50,35,15,Night,Normal,Yes,004689,0049,4503583
000319,50,49,1,Day,Normal,Yes,005165,0049,4892612
000320,50,44,6,Day,Snowy,Yes,005900,0049,3716403
000321,50,47,3,Night,Normal,Yes,000006,0050,4484432
000322,50,34,16,Day,Normal,No,000299,0050,4635281
000323,50,30,20,Day,Normal,Yes,000609,0050,5176750
000324,50,33,17,Day,Normal,Yes,002173,0050,4202351
000325,50,42,8,Day,Normal,No,002389,0050,7673571
000326,50,30,20,Day,Normal,Yes,002976,0050,4600010
000327,50,35,15,Day,Normal,No,003746,0050,5478431
000328,50,35,15,Day,Normal,No,004061,0050,6971914
000329,50,40,10,Night,Normal,Yes,004641,0050,3805267
000330,50,38,12,Day,Normal,Yes,005230,0050,4081586
000331,50,34,16,Day,Normal,No,005349,0050,5740069
000332,50,42,8,Day,Normal,No,005733,0050,3565460
000333,50,40,10,Day,Normal,No,001506,0051,8275484
000334,50,33,17,Day,Normal,Yes,001744,0051,5994535
000335,50,36,14,Day,Normal,Yes,003455,0051,3753727
000336,50,44,6,Day,Normal,Yes,004433,0051,7760485
000337,50,31,19,Day,Normal,Yes,004781,0051,5036910
000338,50,49,1,Day,Normal,No,005257,0051,4492868
000339,50,38,12,Day,Normal,Yes,005389,0051,3876476
000340,50,32,18,Day,Normal,Yes,005515,0051,8561023
000341,50,38,12,Day,Normal,No,000008,0052,4387995
000342,50,37,13,Day,Normal,Yes,000337,0052,4475642
000343,50,36,14,Day,Rainy,Yes,000442,0052,9121910
000344,50,41,9,Day,Normal,No,000631,0052,6753743
000345,50,34,16,Day,Normal,Yes,001199,0052,5743742
000346,50,39,11,Day,Normal,Yes,001335,0052,5780096
000347,50,33,17,Day,Normal,No,001459,0052,5971328
000348,50,43,7,Night,Normal,No,001614,0052,4010472
000349,50,37,13,Day,Normal,No,002164,0052,8151722
000350,50,42,8,Day,Normal,No,002482,0052,7225422
000351,50,40,10,Day,Rainy,No,002779,0052,5218437
000352,50,40,10,Day,Normal,No,002909,0052,6139233
000353,50,31,19,Day,Normal,No,003191,0052,5433363
000354,50,34,16,Day,Normal,Yes,003701,0052,4120614
000355,50,39,11,Day,Normal,No,003805,0052,5114173
000356,50,41,9,Day,Rainy,Yes,004278,0052,3769079
000357,50,34,16,Night,Rainy,No,004718,0052,4481034
000358,50,37,13,Day,Normal,Yes,005063,0052,6858048
000359,50,37,13,Night,Normal,Yes,005319,0052,5200255
000360,50,39,11,Day,Normal,Yes,005407,0052,4751918
000361,50,33,17,Day,Normal,No,005474,0052,6148429
000362,50,33,17,Day,Normal,Yes,005853,0052,6174414
000363,50,33,17,Day,Normal,Yes,000010,0053,4991133
000364,50,48,2,Day,Rainy,Yes,000231,0053,6280032
000365,50,34,16,Day,Rainy,No,000602,0053,6035883
000366,50,41,9,Day,Normal,No,000829,0053,7908825
000367,50,37,13,Day,Normal,No,001103,0053,4203796
000368,50,33,17,Day,Normal,No,001526,0053,13937015
000369,50,42,8,Night,Normal,No,001727,0053,5526399
000370,50,32,18,Day,Normal,Yes,002932,0053,4085332
000371,50,36,14,Night,Normal,Yes,003500,0053,6526516
000372,50,33,17,Day,Rainy,No,004691,0053,3589171
000373,50,34,16,Day,Normal,No,004849,0053,4984684
000374,50,47,3,Day,Rainy,No,005213,0053,8442821
000375,50,37,13,Day,Normal,Yes,005492,0053,5222463
000376,50,30,20,Day,Normal,Yes,005621,0053,4023174
000377,50,44,6,Day,Normal,Yes,006005,0053,9904515
000378,50,34,16,Night,Normal,Yes,000008,0054,4164708
000379,50,45,5,Day,Snowy,Yes,000310,0054,6821598
000380,50,47,3,Day,Normal,No,000573,0054,7458880
000381,50,32,18,Day,Snowy,Yes,001918,0054,6238939
000382,50,47,3,Night,Normal,Yes,002206,0054,4774958
000383,50,32,18,Night,Normal,No,002667,0054,3296418
000384,50,32,18,Night,Normal,No,004351,0054,6226461
000385,50,49,1,Night,Normal,No,004499,0054,3733252
000386,50,48,2,Day,Snowy,Yes,004852,0054,3942762
000387,50,30,20,Day,Snowy,No,005282,0054,5355103
000388,50,48,2,Night,Snowy,Yes,005404,0054,3787293
000389,50,45,5,Night,Normal,No,000001,0055,5429663
000390,50,33,17,Day,Normal,No,001004,0055,4976794
000391,50,33,17,Day,Rainy,No,001881,0055,11346021
000392,50,35,15,Night,Normal,No,001999,0055,6139723
000393,50,36,14,Day,Rainy,Yes,002759,0055,4354774
000394,50,41,9,Day,Snowy,Yes,003397,0055,5840258
000395,50,32,18,Night,Snowy,No,004173,0055,7034032
000396,50,36,14,Day,Rainy,No,004266,0055,7114880
000397,50,42,8,Night,Normal,Yes,004597,0055,4820108
000398,50,32,18,Day,Snowy,Yes,005126,0055,5907347
000399,50,45,5,Day,Snowy,Yes,005225,0055,4124936
000400,50,39,11,Day,Snowy,Yes,005818,0055,2741492
000401,50,31,19,Night,Snowy,Yes,006010,0055,1732579
000402,50,36,14,Day,Snowy,Yes,000087,0056,3514264
000403,50,48,2,Day,Snowy,Yes,000366,0056,5446470
000404,50,32,18,Day,Normal,No,000638,0056,7226332
000405,50,40,10,Day,Rainy,Yes,000739,0056,4689211
000406,50,46,4,Day,Normal,No,000967,0056,4277857
000407,50,40,10,Day,Snowy,No,001427,0056,9402988
000408,50,42,8,Day,Snowy,Yes,001657,0056,4883866
000409,50,31,19,Day,Normal,No,002092,0056,6106466
000410,50,37,13,Day,Snowy,Yes,002252,0056,6601738
000411,50,38,12,Night,Normal,Yes,002367,0056,4282471
000412,50,33,17,Day,Normal,No,002927,0056,5438885
000413,50,35,15,Day,Normal,Yes,000050,0057,1568606
000414,50,32,18,Day,Normal,No,000870,0057,2000411
000415,50,34,16,Day,Rainy,No,001615,0057,4015753
000416,50,31,19,Day,Normal,Yes,002114,0057,1841367
000417,50,30,20,Day,Normal,No,002470,0057,2634014
000418,50,30,20,Day,Normal,No,002632,0057,1957465
000419,50,36,14,Day,Normal,No,004469,0057,2492830
000420,50,39,11,Day,Snowy,Yes,004955,0057,1106104
000421,50,39,11,Day,Normal,Yes,005745,0057,1893411
000422,50,37,13,Day,Normal,No,000193,0058,4876280
000423,50,41,9,Day,Normal,No,000356,0058,3576232
000424,50,30,20,Day,Rainy,No,000817,0058,3624582
000425,50,30,20,Day,Normal,Yes,001650,0058,6814480
000426,50,30,20,Day,Normal,No,002577,0058,11533121
000427,50,41,9,Day,Normal,No,002894,0058,9237044
000428,50,37,13,Day,Normal,No,003310,0058,6115008
000429,50,46,4,Day,Normal,Yes,003995,0058,4903593
000430,50,49,1,Day,Normal,Yes,005451,0058,6278686
000431,50,43,7,Day,Normal,Yes,006022,0058,5428975
000432,50,43,7,Day,Normal,No,000121,0059,7310275
000433,50,36,14,Day,Normal,Yes,000306,0059,4119483
000434,50,44,6,Day,Normal,Yes,000523,0059,4134393
000435,50,33,17,Day,Normal,Yes,000711,0059,6587497
000436,50,40,10,Day,Normal,Yes,001155,0059,3626511
000437,50,35,15,Day,Normal,Yes,001562,0059,5424426
000438,50,35,15,Day,Rainy,Yes,001721,0059,3292706
000439,50,44,6,Day,Normal,Yes,001851,0059,4320345
000440,50,30,20,Day,Normal,Yes,002208,0059,5767979
000441,50,32,18,Day,Normal,Yes,002480,0059,4294017
000442,50,46,4,Day,Normal,Yes,002691,0059,4774357
000443,50,36,14,Day,Normal,Yes,003045,0059,5646713
000444,50,36,14,Day,Normal,No,003324,0059,8806649
000445,50,33,17,Day,Normal,No,004024,0059,6836327
000446,50,32,18,Day,Normal,Yes,004346,0059,3143152
000447,50,47,3,Night,Rainy,No,005216,0059,4569693
000448,50,49,1,Day,Normal,No,000906,0060,5971926
000449,50,45,5,Day,Normal,No,001658,0060,6027616
000450,50,45,5,Day,Snowy,No,001969,0060,3763418
000451,50,32,18,Day,Normal,No,003167,0060,3969146
000452,50,42,8,Day,Normal,No,003325,0060,3348366
000453,50,31,19,Day,Normal,Yes,003469,0060,4701666
000454,50,35,15,Day,Normal,Yes,003654,0060,5622628
000455,50,46,4,Night,Normal,No,003744,0060,4451363
000456,50,47,3,Day,Snowy,Yes,004032,0060,7854852
000457,50,36,14,Day,Normal,No,004124,0060,6761022
000458,50,44,6,Day,Normal,No,004506,0060,5305748
000459,50,40,10,Day,Normal,No,004860,0060,3762323
000460,50,34,16,Day,Normal,Yes,000257,0061,6915821
000461,50,31,19,Day,Normal,Yes,000389,0061,5697274
000462,50,45,5,Day,Normal,Yes,000486,0061,4781697
000463,50,30,20,Day,Normal,Yes,000770,0061,6462605
000464,50,37,13,Day,Normal,Yes,001897,0061,4816395
000465,50,30,20,Day,Normal,Yes,000110,0062,5609270
000466,50,40,10,Day,Normal,No,000488,0062,6239964
000467,50,47,3,Day,Normal,No,001024,0062,7153082
000468,50,35,15,Day,Rainy,Yes,001588,0062,5678337
000469,50,33,17,Day,Normal,Yes,002193,0062,4212789
000470,50,37,13,Day,Snowy,Yes,002410,0062,6156192
